observacao_id,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,relevo_local,relevo_elevacao,relevo_declividade,relevo_posicao
#metadado>,Data da observação,Sistema de referência de coordenadas,Longitude,Latitude,Precisão das coordenadas,Fonte das coordenadas,País,Unidade federativa,Município,Tipo de amostragem,Quantidade de subamostras,Área amostral,Classificação do solo,Classe de relevo local,Elevação acima do nível do mar,Declividade,Posição na paisagem
#metadado>,-,-,m,m,m,-,-,-,-,-,-,m^2,-,-,m,%,-
L65,xx-xx-2011,EPSG:29192,500.936,7.378.911,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,778,4,terço superior
L66,xx-xx-2011,EPSG:29192,504.125,7.381.695,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Gleissolo Melânico, textura argilosa, A húmico",plano,606,-,-
L67,xx-xx-2011,EPSG:29192,504.056,7.385.283,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",plano,623,-,topo
L68,xx-xx-2011,EPSG:29192,503.191,7.389.283,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,562,-,terço superior
L69,xx-xx-2011,EPSG:29192,501.100,7.390.322,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,593,-,-
L70,xx-xx-2011,EPSG:29192,497.417,7.397.812,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Gleissolo Melânico, A húmico",plano,-,-,-
L71,xx-xx-2011,EPSG:29192,498.077,7.397.714,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,485,-,terço superior
L72,xx-xx-2011,EPSG:29192,497.959,7.398.484,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico nitossólico, textura muito argilosa, A moderado",suave ondulado,438,-,terço inferior
L73,xx-xx-2011,EPSG:29192,500.646,7.391.800,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,546,8,terço médio
L74,xx-xx-2011,EPSG:29192,501.808,7.391.827,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,593,-,terço superior
L75,xx-xx-2011,EPSG:29192,502.609,7.394.553,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico fragmentário, textura média, A moderado",forte ondulado,571,40,-
L76,xx-xx-2011,EPSG:29192,502.338,7.396.714,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,502,9,terço inferior
L77,xx-xx-2011,EPSG:29192,495.972,7.401.069,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,502,9,terço médio
L78,xx-xx-2011,EPSG:29192,505.355,7.402.613,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico fragmentário, textura média, A moderado",ondulado,449,16,-
L79,xx-xx-2011,EPSG:29192,503.980,7.403.881,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Chernossolo Háplico Férrico típico, textura argilosa, A chernozêmico",ondulado,448,13,terço inferior
