observacao_id,camada_id,camada_nome,amostra_id,profund_sup,profund_inf,areia_xxx_xxx,silte_xxx_xxx,argila_xxx_xxx,fosforo_xxx_xxx,carbono_xxx_xxx_xxx,ph_h2o_xxx_xxx,ph_cacl2_xxx_xxx,aluminio_kcl_xxx,acidez_potencial_xxx,calcio_trocavel_xxx,magnesio_trocavel_xxx,potassio_trocavel_xxx,bases_soma,ctc_xxx_xxx,bases_saturacao,aluminio_saturacao_calc
#metadado>,Identificação da camada,Símbolo do horizonte,Código da amostra,Profundidade superior,Profundidade inferior,Areia total,Silte total,Argila total,P,Carbono orgânico,pH H2O,pH CaCl2,Al,H+Al,Ca,Mg,K,Soma de bases,Capacidade de troca de cátions ,Saturação por bases,Saturação por Al
#metadado>,-,-,-,cm,cm,dag/kg,dag/kg,dag/kg,mg/dm^3,g/dm^3,-,-,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,%,%
L48,1,Ap,1,0,20,"14,0","15,0","71,0","5,3","17,80","5,0",-,0,"6,2","5,95","1,72","0,81","8,48","14,68",58,0
L48,2,Bw,1,50,70,"12,0","13,0","75,0","2,4","11,30","4,7",-,"0,23","7,2","4,07","1,27","0,33","5,67","12,87",44,4
L49,1,Ap,1,0,20,"11,0","14,0","75,0","7,4","19,30","4,6",-,"0,29","8,35","5,17","1,39","0,47","7,03","15,38",46,4
L49,2,Bw,1,50,70,"10,0","10,0","80,0","2,3","13,60","5,1",-,0,"5,76","5,6","1,76","0,14","7,5","13,26",57,0
L5,1,Ap,1,0,20,-,-,-,"5,3","14,90","5,2",-,0,"4,96","6,6","2,67","0,14","9,41","14,37",65,0
L5,2,Bt,1,50,70,-,-,-,"4,1","5,50","4,6",-,"0,25","5,76","3,72","1,76","0,05","5,53","11,29",49,4
L52,1,Ap,1,0,20,"16,0","14,0","70,0","3,2","24,90","4,4",-,"0,74",9,"2,4","0,98","0,56","3,94","12,94",30,16
L52,2,Bw,1,60,80,"13,0","11,0","76,0",1,"12,50","4,3",-,"1,07",9,"0,7","0,16","0,03","0,89","9,89",9,55
L56,1,Ap,1,0,20,"22,0","24,0","54,0","1,6","24,70","5,4",-,0,"4,6","7,22","2,09","0,71","10,02","14,62",69,0
L56,2,Bt,1,40,60,"13,0","13,0","74,0","2,1","11,10","5,4",-,0,"3,97","5,72","1,31","0,1","7,13","11,10",64,0
